travel_direction,physical_approach_side,movement_type,movement_id,records,direction_total_records,proportion,proportion_pct
NB,south,STRAIGHT,NB_STRAIGHT,329,712,0.4621,46.21
NB,south,LEFT,NB_LEFT,226,712,0.3174,31.74
NB,south,RIGHT,NB_RIGHT,157,712,0.2205,22.05
SB,north,STRAIGHT,SB_STRAIGHT,327,706,0.4632,46.32
SB,north,LEFT,SB_LEFT,189,706,0.2677,26.77
SB,north,RIGHT,SB_RIGHT,190,706,0.2691,26.91
EB,west,STRAIGHT,EB_STRAIGHT,168,441,0.381,38.1
EB,west,LEFT,EB_LEFT,143,441,0.3243,32.43
EB,west,RIGHT,EB_RIGHT,130,441,0.2948,29.48
WB,east,STRAIGHT,WB_STRAIGHT,220,578,0.3806,38.06
WB,east,LEFT,WB_LEFT,159,578,0.2751,27.51
WB,east,RIGHT,WB_RIGHT,199,578,0.3443,34.43
